Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
AAZQ11;Titulos e Val. Mob.;6,62;21,94%;18,12%;0,76;159.127.000;800.052;0;0;0;0,00%;0,00%
ABCP11;Shoppings;75,03;8,24%;8,86%;0,74;353.322.000;58.154;1;4.934,93;511,02;10,36%;2,01%
AEFI11;Outros;174,9;8,89%;0,00%;1,2;411.893.000;0;7;4.316,30;394,34;9,14%;0,00%
AFCR11;Hibrido;103,15;6,80%;0,00%;1,05;498.867.000;0;0;0;0;0,00%;0,00%
AFHI11;Titulos e Val. Mob.;94,18;9,98%;11,46%;0,99;429.048.000;1.244.800;0;0;0;0,00%;0,00%
AFOF11;Titulos e Val. Mob.;91,6;0,77%;0,00%;11,34;1.390.540.000;0;0;0;0;0,00%;0,00%
AGCX11;Outros;1.235,50;0,74%;0,00%;11,48;15.425.600.000;0;71;74.850,90;756,97;1,01%;5,39%
AGRX11;Hibrido;7,4;24,50%;19,29%;0,73;132.483.000;545.798;0;0;0;0,00%;0,00%
AIEC11;Lajes Corporativas;44,3;21,10%;20,57%;0,52;213.747.000;582.419;2;8.883,17;1.935,00;21,78%;0,00%
AJFI11;Titulos e Val. Mob.;7,45;7,69%;9,84%;0,61;235.614.000;653.407;0;0;0;7,06%;0,00%
ALMI11;Lajes Corporativas;590;5,57%;2,38%;0,27;65.594.400;25.879;1;1.426,86;211,7;14,84%;55,40%
ALZC11;Titulos e Val. Mob.;92;8,78%;8,54%;0,92;62.599.200;188.572;0;0;0;0,00%;0,00%
ALZM11;Titulos e Val. Mob.;7,17;9,78%;13,76%;0,89;108.844.000;204.321;0;0;0;0,00%;0,00%
ALZR11;Hibrido;100,9;7,56%;8,67%;0,96;1.233.670.000;2.022.750;17;4.891,99;331,28;6,77%;0,00%
ANCR11;Shoppings;105;8,55%;5,54%;0,97;2.807.180.000;433;7;11.543,50;1.393,52;12,07%;4,42%
APTO11;Hibrido;9,19;11,85%;12,03%;0,92;42.386.400;42.258;4;16.913,20;1.091,99;6,46%;0,00%
APXM11;Hibrido;98,5;5,48%;6,91%;1,01;220.024.000;13.683;1;1.693,17;150,78;8,91%;10,24%
ARCT11;Hibrido;87,13;-62,48%;0,00%;0,87;368.999.000;0;13;1.073,41;108,66;10,12%;3,26%
AROA11;Outros;1,12;5,96%;5,78%;1,13;188.078.000;8.241;6;1.432,97;96,06;6,70%;0,00%
ARRI11;Titulos e Val. Mob.;8,51;6,77%;10,93%;0,99;167.195.000;537.069;0;0;0;0,00%;0,00%
ARXD11;Titulos e Val. Mob.;8,7;124,24%;13,19%;0,09;5.697.590;179.313;0;0;0;0,00%;0,00%
ASMT11;Hibrido;36,5;7,98%;0,00%;0,4;39.465.900;8.362;3;3.375,46;749,21;22,20%;0,00%
ASRF11;Hibrido;10.942,00;-4,98%;0,00%;1,16;32.191.400;34.587;2;4.727,87;0;0,00%;0,00%
ATSA11;Shoppings;51,07;1,50%;2,35%;0,67;89.430.800;1.565;1;2.633,67;55,78;2,12%;18,60%
AURB11;Logistica;78;1,57%;0,00%;1,02;70.084.100;27;2;2.079,31;123,74;5,95%;48,35%
AZPL11;Logistica;7,07;-0,03%;0,00%;0,71;128.742.000;627.261;0;0;0;0,00%;0,00%
BARI11;Titulos e Val. Mob.;74,11;10,85%;11,92%;0,81;343.440.000;581.846;3;3.217,09;0;0,00%;0,00%
BBFI11;Lajes Corporativas;365,3;206,30%;61,25%;0,42;47.489.000;229.984;3;426,84;1.192,87;279,47%;46,50%
BBFO11;Titulos e Val. Mob.;64,29;18,29%;11,43%;0,83;257.411.000;336.637;0;0;0;0,00%;0,00%
BBGO11;Titulos e Val. Mob.;62,62;22,96%;13,65%;0,65;250.803.000;660.353;0;0;0;0,00%;0,00%
BBIG11;Shoppings;8,24;1,61%;3,73%;0,85;816.757.000;1.092.590;0;0;0;0,00%;0,00%
BBPO11;Lajes Corporativas;96,75;11,04%;0,00%;0,95;1.540.230.000;0;62;3.846,17;501,92;13,05%;4,57%
BBRC11;Outros;105,27;12,77%;11,90%;0,94;167.379.000;101.645;20;9.867,79;1.521,65;15,42%;0,00%
BBVJ11;Lajes Corporativas;62,99;2,75%;0,00%;0,88;197.789.000;0;1;10.136,10;587,26;5,79%;45,04%
BCFF11;Titulos e Val. Mob.;7,35;10,72%;11,91%;0,81;1.480.960.000;2.472.070;0;0;0;0,00%;0,00%
BCIA11;Titulos e Val. Mob.;87,69;10,71%;11,16%;0,86;326.122.000;927.553;0;0;0;0,00%;0,00%
BCRI11;Titulos e Val. Mob.;63,16;15,85%;13,67%;0,72;395.247.000;520.946;0;0;0;0,00%;0,00%
BICE11;Titulos e Val. Mob.;950;7,61%;8,83%;0,93;113.385.000;355;0;0;0;0,00%;0,00%
BICR11;Titulos e Val. Mob.;35,92;19,03%;6,64%;0,81;17.960.000;3.086;0;0;0;0,00%;0,00%
BIME11;Hibrido;7,21;13,54%;13,64%;0,84;42.146.800;69.509;3;115,54;0;0,00%;0,00%
BIPD11;Titulos e Val. Mob.;988,17;-2,53%;7,39%;0,99;78.456.700;0;2;7.471,91;0;0,00%;0,00%
BLCA11;Lajes Corporativas;98;-1,28%;16,06%;0,82;156.800.000;73.958;1;37.295,00;2.988,47;8,01%;0,00%
BLCP11;Logistica;91;5,41%;0,00%;0,81;208.962.000;0;2;3.014,16;199,89;6,63%;0,00%
BLMC11;Titulos e Val. Mob.;85,75;11,10%;3,59%;0,91;34.257.100;0;0;0;0;0,00%;0,00%
BLMG11;Outros;34,13;18,43%;13,88%;0,49;145.694.000;727.101;2;80,75;15,71;19,46%;58,43%
BLMO11;Lajes Corporativas;72,93;7,00%;7,00%;0,7;72.551.800;60.555;1;8.675,30;813,89;9,38%;0,00%
BLMR11;Titulos e Val. Mob.;6,78;10,17%;0,78%;0,84;173.172.000;0;0;0;0;0,00%;0,00%
BLOG11;Titulos e Val. Mob.;10,5;0,64%;0,00%;1,03;149.703.000;188;0;0;0;0,34%;0,00%
BLUR11;Titulos e Val. Mob.;85;5,39%;9,55%;1,01;7.650.000;3.121;0;0;0;0,00%;0,00%
BMLC11;Hibrido;98;9,24%;7,94%;0,99;97.843.700;49.483;1;15.988,90;1.448,57;9,06%;2,14%
BNFS11;Outros;106,1;15,88%;14,31%;1,26;74.270.000;106.188;18;6.796,66;1.280,09;18,83%;0,22%
BPFF11;Outros;60,5;17,48%;11,57%;0,83;271.786.000;302.610;0;0;0;0,00%;0,00%
BPML11;Hibrido;80,5;-1,15%;11,87%;0,62;599.060.000;1.859.080;4;4.533,45;769,56;16,98%;7,11%
BPRP11;Outros;107,5;10,56%;8,92%;0,86;145.107.000;359;1;6.230,68;692,07;11,11%;0,00%
BRCO11;Logistica;104,5;7,64%;8,04%;0,88;1.662.090.000;3.069.470;12;3.247,63;313,37;9,65%;5,95%
BRCR11;Hibrido;44,05;-0,83%;11,57%;0,49;1.173.410.000;1.539.120;6;10.135,00;1.612,29;15,91%;6,14%
BREV11;Hibrido;105;6,59%;0,00%;0;101.556.000;0;13;0;1.437,55;0,00%;0,00%
BRIM11;Residencial;1.115,00;2,96%;25,44%;1,48;138.413.000;36.808;1;163.704,00;0;0,00%;0,00%
BRIP11;Hibrido;947,99;-3,47%;25,23%;0,97;204.268.000;16.446;0;0;0;0,00%;0,00%
BRLA11;Outros;148;6,43%;8,04%;0,9;712.349.000;8.695;8;1.676,19;111,49;6,65%;0,00%
BROF11;Hibrido;47,27;13,97%;12,13%;0,44;548.843.000;484.503;2;5.940,63;1.040,57;17,52%;4,64%
BTAL11;Outros;70,38;19,51%;11,94%;0,63;421.065.000;641.007;9;1.204,98;174,04;14,44%;0,00%
BTCI11;Titulos e Val. Mob.;9,16;12,01%;11,49%;0,91;911.614.000;1.806.230;0;0;0;0,00%;0,00%
BTCR11;Titulos e Val. Mob.;88;12,48%;0,00%;0,92;423.289.000;0;0;0;0;0,00%;0,00%
BTHI11;Hotel;39,2;9,60%;10,56%;0,62;361.366.000;53.943;12;707,41;75,41;10,66%;0,00%
BTLG11;Hibrido;96,56;5,06%;9,10%;0,93;4.176.140.000;9.610.430;21;3.283,35;235,69;7,18%;2,43%
BTML11;Hibrido;111,28;9,06%;8,18%;0,96;126.321.000;0;2;22.355,60;2.145,74;9,60%;9,70%
BTRA11;Outros;41,56;57,06%;9,57%;0,38;139.831.000;249.707;6;1,31;0,23;17,72%;30,27%
BTSG11;Logistica;159,05;10,36%;6,72%;1,09;123.266.000;109;1;6.534,61;736,27;11,27%;0,00%
BTSI11;Hibrido;112,35;5,50%;7,48%;1,04;472.776.000;20;4;930,91;81,23;8,73%;0,00%
BTWR11;Lajes Corporativas;105,49;6,72%;6,86%;0,93;85.369.900;28.075;1;2.287,56;225,65;9,86%;4,00%
BTYU11;Hibrido;11,1;2,37%;4,48%;1,07;222.000.000;372.521;0;0;0;0,00%;0,00%
BVAR11;Outros;1.450,00;6,31%;5,83%;1,68;907.033.000;414;47;8.904,68;605,77;6,80%;23,15%
CACR11;Hibrido;99,39;7,06%;15,17%;1,01;480.682.000;1.599.900;0;0;0;0,00%;0,00%
CARE11;Hibrido;1,48;-9,62%;0,00%;0,21;52.939.500;52.622;1;0;0;0,00%;0,00%
CBOP11;Lajes Corporativas;26;5,87%;4,23%;0,36;36.790.000;12.908;1;2.258,15;328,43;14,54%;53,40%
CCME11;Outros;9,22;8,09%;10,56%;0,87;625.089.000;805.512;2;5.998,04;438;7,30%;13,22%
